v11,freq,v1,land
ehinger,6,ehinger weg,Deutschland
das,6,das tolle rott,Deutschland
herman,6,herman uhlig platz,Deutschland
eppendorfer,6,eppendorfer  weg,Deutschland
albertus,6,albertus weg,Deutschland
marianne,6,marianne weber  straße,Deutschland
georgs,6,georgs  weg,Deutschland
schenefelder,6,schenefelder  straße,Deutschland
eckener,6,eckener  weg,Deutschland
theobald,6,theobald ziegler  straße,Deutschland
alban,6,alban ring,Deutschland
großes,6,großes schloß,Deutschland
erfurter,6,erfurter  weg,Deutschland
elfriede,6,elfriede tygör  straße,Deutschland
op'n,6,op'n klint,Deutschland
deutsche,6,deutsche telekom allee,Deutschland
rechberg,6,rechberg  straße,Deutschland
pfälzer,6,pfälzer  weg,Deutschland
charles,6,charles roß ring,Deutschland
park,6,park weg,Deutschland
loher,6,loher  weg,Deutschland
ginnheimer,6,ginnheimer waldgasse,Deutschland
lüneburger,6,lüneburger tor,Deutschland
therese,6,therese wüllenweber platz,Deutschland
siemens,6,siemens  straße,Deutschland
goldene,6,goldene linie,Deutschland
sieben,6,sieben zeilen,Deutschland
gorch,6,gorch fock  weg,Deutschland
lothar,6,lothar streit  straße,Deutschland
hohes,6,hohes ufer,Deutschland
amtmann,6,amtmann winter  straße,Deutschland
oldenburger,6,oldenburger  weg,Deutschland
samuel,6,samuel heinicke  straße,Deutschland
schmale,6,schmale teile,Deutschland
hafen,6,hafen weg,Deutschland
petersburger,6,petersburger  straße,Deutschland
horner,6,horner  weg,Deutschland
heidelberger,6,heidelberger  weg,Deutschland
hubertus,6,hubertus,Deutschland
vitus,6,vitus straße,Deutschland
charlottenburger,6,charlottenburger  weg,Deutschland
hinrich,6,hinrich wilhelm kopf  weg,Deutschland
langes,6,langes tal,Deutschland
hanne,6,hanne wondrak  straße,Deutschland
schöne,6,schöne reihe,Deutschland
humboldt,6,humboldt  straße,Deutschland
rauher,6,rauher  weg,Deutschland
regensburger,6,regensburger tor platz,Deutschland
rochus,6,rochus  straße,Deutschland
wendel,6,wendel weg,Deutschland
letter,6,letter weg,Deutschland
danziger,6,danziger  weg,Deutschland
antonius,6,antonius  straße,Deutschland
see,6,see weg süd,Deutschland
heiner,6,heiner stuhlfauth  straße,Deutschland
marien,6,marien  straße,Deutschland
frieda,6,frieda straße,Deutschland
wied,6,wied weg,Deutschland
charlotte,6,charlotte krenzer  straße,Deutschland
groote,6,groote  straße,Deutschland
dora,6,dora twiete,Deutschland
magnus,6,magnus  straße,Deutschland
gewerbering,6,gewerbering west,Deutschland
linder,6,linder  weg,Deutschland
neuen,6,neuen weg straße,Deutschland
benrather,6,benrather  straße,Deutschland
linden,6,linden weg,Deutschland
