v11,freq,v1,land,ga_first_name,ga_gender,ga_accuracy,ga_samples
ehinger,6,"ehinger weg",Deutschland,,,,
das,6,"das tolle rott",Deutschland,Das,male,84,936
herman,6,"herman uhlig platz",Deutschland,Herman,male,98,7217
eppendorfer,6,"eppendorfer  weg",Deutschland,Eppendorfer,male,75,4
albertus,6,"albertus weg",Deutschland,Albertus,male,99,295
marianne,6,"marianne weber  straße",Deutschland,Marianne,female,98,11994
georgs,6,"georgs  weg",Deutschland,Georgs,male,100,9
schenefelder,6,"schenefelder  straße",Deutschland,,,,
eckener,6,"eckener  weg",Deutschland,,,,
theobald,6,"theobald ziegler  straße",Deutschland,Theobald,male,98,40
alban,6,"alban ring",Deutschland,Alban,male,97,4817
großes,6,"großes schloß",Deutschland,Großes,male,75,4
erfurter,6,"erfurter  weg",Deutschland,Erfurter,male,75,4
elfriede,6,"elfriede tygör  straße",Deutschland,Elfriede,female,98,563
op'n,6,"op'n klint",Deutschland,,,,
deutsche,6,"deutsche telekom allee",Deutschland,Deutsche,male,65,17
rechberg,6,"rechberg  straße",Deutschland,,,,
pfälzer,6,"pfälzer  weg",Deutschland,Pfälzer,male,100,3
charles,6,"charles roß ring",Deutschland,Charles,male,98,52754
park,6,"park weg",Deutschland,Park,male,76,2527
loher,6,"loher  weg",Deutschland,Loher,unknown,50,4
ginnheimer,6,"ginnheimer waldgasse",Deutschland,,,,
lüneburger,6,"lüneburger tor",Deutschland,Lüneburger,male,75,4
therese,6,"therese wüllenweber platz",Deutschland,Therese,female,98,5209
siemens,6,"siemens  straße",Deutschland,Siemens,male,78,27
goldene,6,"goldene linie",Deutschland,Goldene,unknown,50,6
sieben,6,"sieben zeilen",Deutschland,Sieben,male,86,22
gorch,6,"gorch fock  weg",Deutschland,Gorch,male,100,4
lothar,6,"lothar streit  straße",Deutschland,Lothar,male,99,1683
hohes,6,"hohes ufer",Deutschland,,,,
amtmann,6,"amtmann winter  straße",Deutschland,Amtmann,male,75,4
oldenburger,6,"oldenburger  weg",Deutschland,Oldenburger,male,100,3
samuel,6,"samuel heinicke  straße",Deutschland,Samuel,male,99,59149
schmale,6,"schmale teile",Deutschland,Schmale,male,75,4
hafen,6,"hafen weg",Deutschland,Hafen,male,75,4
petersburger,6,"petersburger  straße",Deutschland,,,,
horner,6,"horner  weg",Deutschland,Horner,male,63,8
heidelberger,6,"heidelberger  weg",Deutschland,Heidelberger,male,80,5
hubertus,6,hubertus,Deutschland,Hubertus,male,100,197
vitus,6,"vitus straße",Deutschland,Vitus,male,97,241
charlottenburger,6,"charlottenburger  weg",Deutschland,,,,
hinrich,6,"hinrich wilhelm kopf  weg",Deutschland,Hinrich,male,100,55
langes,6,"langes tal",Deutschland,Langes,male,83,6
hanne,6,"hanne wondrak  straße",Deutschland,Hanne,female,97,1737
schöne,6,"schöne reihe",Deutschland,Schöne,female,73,15
humboldt,6,"humboldt  straße",Deutschland,Humboldt,male,64,14
rauher,6,"rauher  weg",Deutschland,,,,
regensburger,6,"regensburger tor platz",Deutschland,Regensburger,male,100,5
rochus,6,"rochus  straße",Deutschland,Rochus,male,98,44
wendel,6,"wendel weg",Deutschland,Wendel,male,98,784
letter,6,"letter weg",Deutschland,Letter,male,67,15
danziger,6,"danziger  weg",Deutschland,,,,
antonius,6,"antonius  straße",Deutschland,Antonius,male,99,833
see,6,"see weg süd",Deutschland,See,male,67,697
heiner,6,"heiner stuhlfauth  straße",Deutschland,Heiner,male,98,539
marien,6,"marien  straße",Deutschland,Marien,female,59,504
frieda,6,"frieda straße",Deutschland,Frieda,female,97,700
wied,6,"wied weg",Deutschland,Wied,male,68,31
charlotte,6,"charlotte krenzer  straße",Deutschland,Charlotte,female,96,27559
groote,6,"groote  straße",Deutschland,Groote,male,75,4
dora,6,"dora twiete",Deutschland,Dora,female,96,8082
magnus,6,"magnus  straße",Deutschland,Magnus,male,99,5496
gewerbering,6,"gewerbering west",Deutschland,,,,
linder,6,"linder  weg",Deutschland,Linder,female,82,367
neuen,6,"neuen weg straße",Deutschland,Neuen,male,75,4
benrather,6,"benrather  straße",Deutschland,,,,
linden,6,"linden weg",Deutschland,Linden,male,67,213
süd,6,"süd weg",Deutschland,Süd,male,80,5
martins,6,"martins  weg",Deutschland,Martins,male,91,3671
hartmann,6,"hartmann weg",Deutschland,Hartmann,male,81,96
olvenstedter,6,"olvenstedter  straße",Deutschland,,,,
den,6,"den hoff  straße",Deutschland,Den,male,93,4271
rainer,6,"rainer werner fassbinder platz",Deutschland,Rainer,male,99,5435
sülldorfer,6,"sülldorfer  weg",Deutschland,,,,
ring,6,"ring weg",Deutschland,Ring,female,53,213
glück,6,"glück straße",Deutschland,Glück,male,62,21
reichenberger,6,"reichenberger  weg",Deutschland,Reichenberger,female,75,4
brenner,6,"brenner  straße",Deutschland,Brenner,male,88,102
escher,6,"escher wyss  straße",Deutschland,Escher,male,87,15
don,6,"don   ugoletti   platz",Deutschland,Don,male,98,23550
carsten,6,"carsten schulte  straße",Deutschland,Carsten,male,99,5153
köln,6,"köln straße/schloß straße",Deutschland,Köln,male,83,18
weidenwang,6,"weidenwang k",Deutschland,,,,
bruder,6,"bruder konrad  straße",Deutschland,Bruder,male,86,37
rupert,6,"rupert  straße",Deutschland,Rupert,male,98,1040
markus,6,"markus  straße",Deutschland,Markus,male,99,26494
salvador,6,"salvador dali  weg",Deutschland,Salvador,male,99,7869
wohnpark,6,"wohnpark straße",Deutschland,,,,
kieler,6,"kieler  weg",Deutschland,Kieler,male,86,22
stemmer,6,"stemmer weingarten",Deutschland,Stemmer,male,100,8
sander,6,"sander  weg",Deutschland,Sander,male,98,4407
göttinger,6,"göttinger  weg",Deutschland,Göttinger,male,75,4
rudolph,6,"rudolph straße",Deutschland,Rudolph,male,99,644
rhein,6,"rhein weg",Deutschland,Rhein,male,62,39
emanuel,6,"emanuel wurm  straße",Deutschland,Emanuel,male,99,10240
henriette,6,"henriette straße",Deutschland,Henriette,female,98,2069
hanna,6,"hanna weg",Deutschland,Hanna,female,94,11328
"l5,",6,"l5, 6",Deutschland,,,,
märker,6,"märker  weg",Deutschland,,,,
nicolaus,6,"nicolaus dreyse  straße",Deutschland,Nicolaus,male,98,126
fischer,6,"fischer weg",Deutschland,Fischer,male,70,248
sielower,6,"sielower wald weg",Deutschland,,,,
dessauer,6,"dessauer  weg",Deutschland,,,,
freie,7,"freie weg",Deutschland,Freie,unknown,50,2
prenzlauer,7,"prenzlauer  weg",Deutschland,Prenzlauer,male,75,4
steiner,7,"steiner  weg",Deutschland,Steiner,male,84,139
mark,7,"mark weg",Deutschland,Mark,male,99,42667
meyer,7,"meyer zur müdehorst  weg",Deutschland,Meyer,male,72,480
schulte,7,"schulte vom brühl",Deutschland,Schulte,male,62,13
frankfurter,7,"frankfurter  weg",Deutschland,Frankfurter,male,95,22
bettina,7,"bettina weg",Deutschland,Bettina,female,98,5079
neusser,7,"neusser weyhe",Deutschland,Neusser,male,100,5
breslauer,7,"breslauer  weg",Deutschland,,,,
gräfin,7,"gräfin linden  weg",Deutschland,Gräfin,female,100,4
henry,7,"henry van de velde  straße",Deutschland,Henry,male,99,32139
heilig,7,"heilig kreuz  weg",Deutschland,Heilig,male,73,11
horster,7,"horster viereck",Deutschland,Horster,male,75,4
bezirk,7,"bezirk straße",Deutschland,,,,
eicher,7,"eicher  weg",Deutschland,Eicher,male,79,14
egon,7,"egon tschirch  weg",Deutschland,Egon,male,98,1075
broicher,7,"broicher  weg",Deutschland,Broicher,male,75,4
steinbacher,7,"steinbacher  weg",Deutschland,,,,
moltke,7,"moltke  straße",Deutschland,Moltke,unknown,50,2
vinzenz,7,"vinzenz paul  straße",Deutschland,Vinzenz,male,96,84
zeller,7,"zeller  weg",Deutschland,Zeller,male,88,17
